,cname,ccodealp,ht_region,gle_cgdpc,undp_hdi,imf_pop,wef_imort,who_alc2000,who_tobt,wdi_exph,flagnull
35,Chile,CHL,2,15519.08,0.84500003,17.81900024414063,7.800000190734863,7.1599998,38.900002,7.785857677459717,False
36,China,CHN,6,9283.3799,0.73400003,NaN,12.10000038146973,5.7800002,25.9,5.548227787017822,True
37,Taiwan,TWN,6,33965.871,NaN,23.43400001525879,3.934564113616943,NaN,NaN,NaN,False
38,Colombia,COL,2,8761.1396,0.72399998,47.6619987487793,15.10000038146973,4.3800001,11.6,7.201298713684082,False
39,Comoros,COM,4,972.35999,0.498,0.7760000228881836,NaN,0.12,15.3,6.747642993927002,False
40,Congo,COG,4,2369.8401,0.58999997,NaN,NaN,3.8199999,18.5,5.151411533355713,True
41,"Congo, Democratic Republic",COD,4,324.16,0.42500001,NaN,74.5,1.8200001,NaN,4.32823371887207,True
42,Costa Rica,CRI,2,9485.71,0.77499998,NaN,8.600000381469727,3.45,14.2,9.313112258911133,True
43,Croatia,HRV,1,18020.41,0.82300001,4.23799991607666,4.0,12.14,36.0,7.803241729736328,False
44,Cuba,CUB,2,5899.9399,0.773,NaN,NaN,4.3699999,36.099998,11.05880069732666,True
45,Cyprus (1975-),CYP,3,27207.07,0.85399997,0.8579999804496765,2.5,9.04,NaN,7.367611408233643,False
46,Czech Republic,CZE,1,23847.08,0.875,10.51200008392334,3.099999904632568,12.68,33.400002,7.410911560058594,False
47,Benin,BEN,4,1413.05,0.48100001,10.31999969482422,56.20000076293945,1.4,8.8000002,4.594296455383301,False
48,Denmark,DNK,5,37406.762,0.92299998,5.626999855041504,3.0,9.6400003,18.9,10.80495738983154,False
49,Dominica,DMA,10,12613.72,0.72399998,NaN,NaN,5.46,NaN,5.485832691192627,True
50,Dominican Republic,DOM,2,10376.63,0.71799999,NaN,22.79999923706055,5.9200001,14.5,4.375777721405029,True
51,Ecuador,ECU,2,7259.52,0.73900002,15.77499961853027,19.10000038146973,3.8199999,9.0,9.161087989807127,False
52,El Salvador,SLV,2,332.26999,0.67799997,NaN,13.60000038146973,2.52,NaN,6.772402763366699,True
53,Equatorial Guinea,GNQ,4,15412.43,0.58200002,NaN,NaN,10.72,NaN,3.804079055786133,True
54,Ethiopia (1993-),ETH,4,900.77002,0.44100001,88.34700012207031,46.5,1.86,4.6999998,4.884313106536865,False
55,Eritrea,ERI,4,1007.28,0.41800001,NaN,NaN,0.62,NaN,3.338293075561523,True
56,Estonia,EST,1,19768.039,0.86299998,1.315999984741211,2.900000095367432,NaN,33.200001,6.379294395446777,False
57,Fiji,FJI,9,3848.72,0.73400003,0.8799999952316284,NaN,NaN,26.5,4.487498760223389,False
58,Finland,FIN,5,36958.211,0.89300001,5.427000045776367,2.400000095367432,8.8000002,21.799999,9.679908752441406,False
59,France (1963-),FRA,5,34007.898,0.89399999,64.02799987792969,3.400000095367432,11.5,28.1,11.53951930999756,False
60,Djibouti,DJI,4,2685.5,0.47,NaN,NaN,0.38,NaN,10.56825637817383,True
61,Gabon,GAB,4,14525.28,0.69400001,NaN,42.40000152587891,8.8599997,NaN,3.437471628189087,True
62,Georgia,GEO,1,7148.5698,0.76800001,3.730000019073486,17.79999923706055,6.1300001,30.0,7.416659355163574,False
63,Gambia,GMB,4,1601.88,0.44999999,NaN,49.20000076293945,3.4100001,NaN,7.340400695800781,True
64,Germany,DEU,5,39486.699,0.92400002,80.98300170898438,3.400000095367432,11.03,30.700001,11.29700088500977,False
65,Ghana,GHA,4,2584.6001,0.57499999,NaN,48.59999847412109,1.64,6.3000002,3.557291984558106,True
66,Kiribati,KIR,9,1532.65,0.58600003,0.1070000007748604,NaN,0.52999997,54.0,10.21295070648193,False
67,Greece,GRC,5,25295.27,0.86500001,10.92700004577637,4.099999904632568,7.5300002,43.400002,8.084266662597656,False
68,Grenada,GRD,10,8314.5596,0.75099999,NaN,NaN,8.4200001,NaN,6.09761381149292,True
69,Guatemala,GTM,2,4438.0,0.63700002,NaN,26.5,1.88,NaN,6.202301502227783,True
70,Guinea,GIN,4,993.83002,0.414,11.74499988555908,65.19999694824219,0.22,NaN,5.644797801971436,False
71,Guyana,GUY,10,2042.8199,0.63800001,0.7559999823570251,29.0,7.6399999,NaN,5.247803688049316,False
72,Haiti,HTI,2,1024.9399,0.49000001,NaN,56.5,5.6799998,11.8,7.555654048919678,True
73,Honduras,HND,2,3303.1399,0.62300003,NaN,19.39999961853027,2.8699999,18.9,8.72268009185791,True
74,Hungary,HUN,1,18310.811,0.83399999,9.876999855041504,5.300000190734863,10.88,29.6,7.400781154632568,False
75,Iceland,ISL,5,31313.609,0.91900003,0.3289999961853027,1.799999952316284,7.4499998,17.5,8.859166145324707,False
76,India,IND,8,4256.79,0.61500001,NaN,43.79999923706055,3.0699999,12.4,4.685088157653809,True
77,Indonesia,IDN,7,4780.0098,0.68599999,252.1649932861328,25.79999923706055,0.090000004,38.5,2.84686017036438,False
78,Iran,IRN,3,12889.28,0.77399999,75.1500015258789,15.10000038146973,0.029999999,11.7,6.894922256469727,False
79,Iraq,IRQ,3,4178.2598,0.64899999,32.57799911499023,NaN,0.17,NaN,5.538873195648193,False
80,Ireland,IRL,5,46422.07,0.92000002,4.620999813079834,3.400000095367432,10.75,23.200001,7.783196449279785,False
81,Israel,ISR,3,25926.25,0.898,8.211999893188477,3.299999952316284,2.6199999,30.4,7.808308124542236,False
82,Italy,ITA,5,32931.672,0.88099998,60.78300094604492,3.200000047683716,7.5599999,24.200001,9.247918128967283,False
83,Cote d'Ivoire,CIV,4,1354.29,0.46599999,22.52400016784668,76.19999694824219,3.1500001,NaN,5.716273784637451,False
84,Jamaica,JAM,10,4668.77,0.72899997,2.799000024795532,14.39999961853027,3.8299999,17.6,5.36152458190918,False
85,Japan,JPN,6,36123.77,0.90200001,127.120002746582,2.200000047683716,7.5500002,22.799999,10.22874450683594,False
86,Kazakhstan,KAZ,1,14098.88,0.79299998,17.42200088500977,16.70000076293945,6.29,26.299999,4.355939865112305,False
87,Jordan,JOR,3,5188.9199,0.741,6.675000190734863,16.39999961853027,0.41,38.400002,7.452995777130127,False
88,Kenya,KEN,4,1494.63,0.55000001,40.70000076293945,48.70000076293945,1.84,13.6,5.720291137695313,False
89,"Korea, North",PRK,6,1727.8199,NaN,NaN,NaN,3.3499999,NaN,NaN,True
90,"Korea, South",KOR,6,33181.891,0.89899999,50.74700164794922,3.299999952316284,9.3299999,27.4,7.373112678527832,False
91,Kuwait,KWT,3,64342.711,0.79900002,3.999000072479248,9.5,0.02,NaN,3.042368412017822,False
92,Kyrgyzstan,KGZ,1,3010.24,0.662,5.894999980926514,23.60000038146973,3.28,26.4,6.483762264251709,False
93,Laos,LAO,7,2926.77,0.58200002,6.89799976348877,54.0,5.3899999,34.0,1.865545511245728,False
94,Lebanon,LBN,3,14711.97,0.76300001,4.382999897003174,8.0,1.3200001,37.0,6.3937087059021,False
95,Lesotho,LSO,4,1539.79,0.495,NaN,74.19999694824219,2.3900001,25.4,10.61767673492432,True
96,Latvia,LVA,1,16583.67,0.82800001,2.000999927520752,7.599999904632568,10.37,35.900002,5.880693435668945,False
